Date,Open,High,Low,Close,Volume,Ticker,CountryCode,Name,Exchange,Sector
12/30/2024,52.32,52.32,52.32,52.32,"26,837",CUPRUM,cl,A.F.P. Cuprum S.A. (CUPRUM),XSGO,INVESTMENT ADVISORS
12/27/2024,52.80,52.80,52.80,52.32,"123,844",CUPRUM,cl,A.F.P. Cuprum S.A. (CUPRUM),XSGO,INVESTMENT ADVISORS
12/26/2024,51.00,52.80,51.00,52.32,"331,07",CUPRUM,cl,A.F.P. Cuprum S.A. (CUPRUM),XSGO,INVESTMENT ADVISORS
12/24/2024,55.00,55.00,55.00,55.00,"96,548",CUPRUM,cl,A.F.P. Cuprum S.A. (CUPRUM),XSGO,INVESTMENT ADVISORS
12/23/2024,55.80,55.80,55.00,55.00,"236,623",CUPRUM,cl,A.F.P. Cuprum S.A. (CUPRUM),XSGO,INVESTMENT ADVISORS
12/20/2024,59.00,59.00,57.01,61.91,"110,732",CUPRUM,cl,A.F.P. Cuprum S.A. (CUPRUM),XSGO,INVESTMENT ADVISORS
12/19/2024,62.00,62.90,61.00,61.91,"2,290,191",CUPRUM,cl,A.F.P. Cuprum S.A. (CUPRUM),XSGO,INVESTMENT ADVISORS
12/18/2024,63.00,63.00,60.00,60.52,"303,818",CUPRUM,cl,A.F.P. Cuprum S.A. (CUPRUM),XSGO,INVESTMENT ADVISORS
12/17/2024,60.00,60.00,59.00,60.00,"409,837",CUPRUM,cl,A.F.P. Cuprum S.A. (CUPRUM),XSGO,INVESTMENT ADVISORS
12/16/2024,59.50,59.60,59.30,59.30,"521,69",CUPRUM,cl,A.F.P. Cuprum S.A. (CUPRUM),XSGO,INVESTMENT ADVISORS
12/13/2024,57.45,57.45,56.00,56.77,"275,134",CUPRUM,cl,A.F.P. Cuprum S.A. (CUPRUM),XSGO,INVESTMENT ADVISORS
12/12/2024,56.70,57.00,56.70,56.79,"145,931",CUPRUM,cl,A.F.P. Cuprum S.A. (CUPRUM),XSGO,INVESTMENT ADVISORS
12/11/2024,56.60,58.50,56.60,56.60,"270,157",CUPRUM,cl,A.F.P. Cuprum S.A. (CUPRUM),XSGO,INVESTMENT ADVISORS
12/10/2024,57.00,57.00,57.00,57.00,"174,972",CUPRUM,cl,A.F.P. Cuprum S.A. (CUPRUM),XSGO,INVESTMENT ADVISORS
12/09/2024,56.00,57.00,56.00,56.67,"362,684",CUPRUM,cl,A.F.P. Cuprum S.A. (CUPRUM),XSGO,INVESTMENT ADVISORS
12/06/2024,56.00,56.00,55.60,55.62,"507,751",CUPRUM,cl,A.F.P. Cuprum S.A. (CUPRUM),XSGO,INVESTMENT ADVISORS
12/05/2024,54.00,54.54,54.00,54.54,"589,355",CUPRUM,cl,A.F.P. Cuprum S.A. (CUPRUM),XSGO,INVESTMENT ADVISORS
12/04/2024,53.20,53.20,53.20,52.79,102,CUPRUM,cl,A.F.P. Cuprum S.A. (CUPRUM),XSGO,INVESTMENT ADVISORS
